Geo_FIPS,Geo_NAME,Geo_QNAME,Geo_NATION,Geo_STATE,Geo_COUNTY,Geo_MSA,ORG_A040120,ORG_B040120,ORG_C040120,ORG_D040120,ORG_E040120,ORG_F040120,ORG_G040120,ORG_H040120,ORG_I040120,ORG_J040120,ORG_K040120,ORG_L040120,ORG_M040120,ORG_N040120,ORG_O040120,ORG_P040120,ORG_R040120,ORG_S040120,ORG_T040120,ORG_U040120,FIPS_ST_CNTY_CD,Month
48425,Somervell County,"Somervell County, Texas",0,48,425,,,,,,,,,,,,,,,,,,,,,,48425,April
48427,Starr County,"Starr County, Texas",0,48,427,,4,0,,,,2,100,0,0,,0,,0,,0,,0.01,0,6.26,0,48427,April
48429,Stephens County,"Stephens County, Texas",0,48,429,,,,,,,,,,,,,,,,,,,,,,48429,April
48431,Sterling County,"Sterling County, Texas",0,48,431,,,,,,,,,,,,,,,,,,,,,,48431,April
48433,Stonewall County,"Stonewall County, Texas",0,48,433,,,,,,,,,,,,,,,,,,,,,,48433,April
48435,Sutton County,"Sutton County, Texas",0,48,435,,,,,,,,,,,,,,,,,,,,,,48435,April
48437,Swisher County,"Swisher County, Texas",0,48,437,,1,0,,,,0,0,0,0,,0,,0,,0,,0.01,0,13.36,0,48437,April
48439,Tarrant County,"Tarrant County, Texas",0,48,439,,288,3,,,,113,64.57,200,217,305.63,0,,2,200,0,,0.01,0,14.26,0.15,48439,April
48441,Taylor County,"Taylor County, Texas",0,48,441,,14,0,,,,3,27.27,0,0,,0,,0,,0,,0.01,0,10.27,0,48441,April
48443,Terrell County,"Terrell County, Texas",0,48,443,,,,,,,,,,,,,,,,,,,,,,48443,April
48445,Terry County,"Terry County, Texas",0,48,445,,4,0,,,,0,0,0,3,300,0,,0,,0,,0.03,0,31.71,0,48445,April
48447,Throckmorton County,"Throckmorton County, Texas",0,48,447,,,,,,,,,,,,,,,,,,,,,,48447,April
48449,Titus County,"Titus County, Texas",0,48,449,,,,,,,,,,,,,,,,,,,,,,48449,April
48451,Tom Green County,"Tom Green County, Texas",0,48,451,,9,0,,,,3,50,0,8,800,0,,0,,0,,0.01,0,7.66,0,48451,April
48453,Travis County,"Travis County, Texas",0,48,453,,244,2,,,,38,18.45,0,125,105.04,0,,2,,0,,0.02,0,20.28,0.17,48453,April
48455,Trinity County,"Trinity County, Texas",0,48,455,,,,,,,,,,,,,,,,,,,,,,48455,April
48457,Tyler County,"Tyler County, Texas",0,48,457,,,,,,,,,,,,,,,,,,,,,,48457,April
48459,Upshur County,"Upshur County, Texas",0,48,459,,2,0,,,,0,0,0,1,100,0,,0,,0,,0,0,4.91,0,48459,April
48461,Upton County,"Upton County, Texas",0,48,461,,,,,,,,,,,,,,,,,,,,,,48461,April
48463,Uvalde County,"Uvalde County, Texas",0,48,463,,4,0,,,,2,100,0,0,,0,,0,,0,,0.01,0,14.81,0,48463,April
48465,Val Verde County,"Val Verde County, Texas",0,48,465,,5,0,,,,0,0,0,0,,0,,0,,0,,0.01,0,10.2,0,48465,April
48467,Van Zandt County,"Van Zandt County, Texas",0,48,467,,2,1,,,,0,0,0,1,100,0,,1,,0,,0,0,3.68,1.84,48467,April
48469,Victoria County,"Victoria County, Texas",0,48,469,,16,0,,,,7,77.78,0,13,433.33,0,,0,,0,,0.02,0,17.4,0,48469,April
48471,Walker County,"Walker County, Texas",0,48,471,,5,0,,,,2,66.67,0,4,400,0,,0,,0,,0.01,0,6.99,0,48471,April
48473,Waller County,"Waller County, Texas",0,48,473,,3,0,,,,0,0,0,0,,0,,0,,0,,0.01,0,6,0,48473,April
48475,Ward County,"Ward County, Texas",0,48,475,,,,,,,,,,,,,,,,,,,,,,48475,April
48477,Washington County,"Washington County, Texas",0,48,477,,17,0,,,,9,112.5,0,0,,0,,0,,0,,0.05,0,48.86,0,48477,April
48479,Webb County,"Webb County, Texas",0,48,479,,45,2,,,,8,21.62,0,37,462.5,0,,2,,0,,0.02,0,16.54,0.74,48479,April
48481,Wharton County,"Wharton County, Texas",0,48,481,,7,0,,,,1,16.67,0,4,133.33,0,,0,,0,,0.02,0,16.85,0,48481,April
48483,Wheeler County,"Wheeler County, Texas",0,48,483,,,,,,,,,,,,,,,,,,,,,,48483,April
48485,Wichita County,"Wichita County, Texas",0,48,485,,38,0,,,,8,26.67,0,32,533.33,0,,0,,0,,0.03,0,28.83,0,48485,April
48487,Wilbarger County,"Wilbarger County, Texas",0,48,487,,,,,,,,,,,,,,,,,,,,,,48487,April
48489,Willacy County,"Willacy County, Texas",0,48,489,,2,0,,,,0,0,0,0,,0,,0,,0,,0.01,0,9.19,0,48489,April
48491,Williamson County,"Williamson County, Texas",0,48,491,,55,1,,,,13,30.95,0,33,150,0,,1,,0,,0.01,0,10.44,0.19,48491,April
48493,Wilson County,"Wilson County, Texas",0,48,493,,5,0,,,,2,66.67,0,4,400,0,,0,,0,,0.01,0,10.37,0,48493,April
48495,Winkler County,"Winkler County, Texas",0,48,495,,,,,,,,,,,,,,,,,,,,,,48495,April
48497,Wise County,"Wise County, Texas",0,48,497,,3,0,,,,2,200,0,0,,0,,0,,0,,0,0,4.64,0,48497,April
48499,Wood County,"Wood County, Texas",0,48,499,,1,0,,,,0,0,0,0,,0,,0,,0,,0,0,2.28,0,48499,April
48501,Yoakum County,"Yoakum County, Texas",0,48,501,,,,,,,,,,,,,,,,,,,,,,48501,April
48503,Young County,"Young County, Texas",0,48,503,,3,0,,,,2,200,0,0,,0,,0,,0,,0.02,0,16.56,0,48503,April
48505,Zapata County,"Zapata County, Texas",0,48,505,,,,,,,,,,,,,,,,,,,,,,48505,April
48507,Zavala County,"Zavala County, Texas",0,48,507,,,,,,,,,,,,,,,,,,,,,,48507,April
48999,Unknown County,"Unknown County, Texas",0,48,999,,,,,,,,,,,,,,,,,,,,,,48999,April
