Geo_FIPS,Geo_NAME,Geo_QNAME,Geo_NATION,Geo_STATE,Geo_COUNTY,Geo_MSA,ORG_A040120,ORG_B040120,ORG_C040120,ORG_D040120,ORG_E040120,ORG_F040120,ORG_G040120,ORG_H040120,ORG_I040120,ORG_J040120,ORG_K040120,ORG_L040120,ORG_M040120,ORG_N040120,ORG_O040120,ORG_P040120,ORG_R040120,ORG_S040120,ORG_T040120,ORG_U040120,FIPS_ST_CNTY_CD,Month
48123,DeWitt County,"DeWitt County, Texas",0,48,123,,4,0,,,,1,33.33,0,3,300,0,,0,,0,,0.02,0,19.57,0,48123,April
48125,Dickens County,"Dickens County, Texas",0,48,125,,,,,,,,,,,,,,,,,,,,,,48125,April
48127,Dimmit County,"Dimmit County, Texas",0,48,127,,,,,,,,,,,,,,,,,,,,,,48127,April
48129,Donley County,"Donley County, Texas",0,48,129,,,,,,,,,,,,,,,,,,,,,,48129,April
48131,Duval County,"Duval County, Texas",0,48,131,,,,,,,,,,,,,,,,,,,,,,48131,April
48133,Eastland County,"Eastland County, Texas",0,48,133,,3,0,,,,0,0,0,1,50,0,,0,,0,,0.02,0,16.42,0,48133,April
48135,Ector County,"Ector County, Texas",0,48,135,,11,0,,,,4,57.14,0,0,,0,,0,,0,,0.01,0,6.95,0,48135,April
48137,Edwards County,"Edwards County, Texas",0,48,137,,,,,,,,,,,,,,,,,,,,,,48137,April
48139,Ellis County,"Ellis County, Texas",0,48,139,,20,1,,,,4,25,0,14,233.33,0,,1,,0,,0.01,0,11.85,0.59,48139,April
48141,El Paso County,"El Paso County, Texas",0,48,141,,50,0,,,,0,0,0,38,316.67,0,,0,,0,,0.01,0,5.97,0,48141,April
48143,Erath County,"Erath County, Texas",0,48,143,,2,0,,,,1,100,0,1,100,0,,0,,0,,0,0,4.82,0,48143,April
48145,Falls County,"Falls County, Texas",0,48,145,,1,0,,,,0,0,0,0,0,0,,0,,0,,0.01,0,5.78,0,48145,April
48147,Fannin County,"Fannin County, Texas",0,48,147,,1,0,,,,0,0,0,0,0,0,,0,,0,,0,0,2.93,0,48147,April
48149,Fayette County,"Fayette County, Texas",0,48,149,,4,0,,,,2,100,0,3,300,0,,0,,0,,0.02,0,15.96,0,48149,April
48151,Fisher County,"Fisher County, Texas",0,48,151,,,,,,,,,,,,,,,,,,,,,,48151,April
48153,Floyd County,"Floyd County, Texas",0,48,153,,,,,,,,,,,,,,,,,,,,,,48153,April
48155,Foard County,"Foard County, Texas",0,48,155,,,,,,,,,,,,,,,,,,,,,,48155,April
48157,Fort Bend County,"Fort Bend County, Texas",0,48,157,,163,2,,,,25,18.12,0,109,201.85,0,,2,,0,,0.02,0,22.05,0.27,48157,April
48159,Franklin County,"Franklin County, Texas",0,48,159,,1,0,,,,0,0,0,0,,0,,0,,0,,0.01,0,9.36,0,48159,April
48161,Freestone County,"Freestone County, Texas",0,48,161,,,,,,,,,,,,,,,,,,,,,,48161,April
48163,Frio County,"Frio County, Texas",0,48,163,,,,,,,,,,,,,,,,,,,,,,48163,April
48165,Gaines County,"Gaines County, Texas",0,48,165,,1,0,,,,0,0,0,0,0,0,,0,,0,,0,0,4.92,0,48165,April
48167,Galveston County,"Galveston County, Texas",0,48,167,,118,0,,,,12,11.32,0,96,436.36,0,,0,,0,,0.04,0,36.08,0,48167,April
48169,Garza County,"Garza County, Texas",0,48,169,,,,,,,,,,,,,,,,,,,,,,48169,April
48171,Gillespie County,"Gillespie County, Texas",0,48,171,,,,,,,,,,,,,,,,,,,,,,48171,April
48173,Glasscock County,"Glasscock County, Texas",0,48,173,,,,,,,,,,,,,,,,,,,,,,48173,April
48175,Goliad County,"Goliad County, Texas",0,48,175,,,,,,,,,,,,,,,,,,,,,,48175,April
48177,Gonzales County,"Gonzales County, Texas",0,48,177,,1,0,,,,0,0,0,0,,0,,0,,0,,0,0,4.84,0,48177,April
48179,Gray County,"Gray County, Texas",0,48,179,,1,0,,,,0,0,0,0,,0,,0,,0,,0,0,4.41,0,48179,April
48181,Grayson County,"Grayson County, Texas",0,48,181,,8,0,,,,1,14.29,0,6,300,0,,0,,0,,0.01,0,6.22,0,48181,April
48183,Gregg County,"Gregg County, Texas",0,48,183,,6,0,,,,1,20,0,5,500,0,,0,,0,,0,0,4.86,0,48183,April
48185,Grimes County,"Grimes County, Texas",0,48,185,,3,0,,,,0,0,0,1,50,0,,0,,0,,0.01,0,10.86,0,48185,April
